name,market,funding_total_usd,status,state_code,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
CleverSet,Reviews and Recommendations,3600000,acquired,WA,4.0,,2005-09-01,2007-12-01,0.0,3100000.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CleveX,Health and Wellness,850002,closed,OH,2.0,2003-01-01,2007-01-22,2010-03-23,0.0,850002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clickability,Enterprise Software,11500000,acquired,CA,2.0,1999-01-01,2008-02-04,2008-07-14,0.0,8000000.0,0.0,0.0,0.0,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0
Clickable,Search,32500000,acquired,NY,5.0,2006-12-01,2006-01-01,2011-10-17,0.0,32500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,14500000.0,12000000.0,0.0,0.0,0.0,0.0,0.0
ClickEquations,Search Marketing,3000000,acquired,PA,1.0,2006-01-03,2009-08-28,2009-08-28,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clicker,Video,19000000,acquired,CA,2.0,2009-01-01,2009-09-15,2010-02-18,0.0,19000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,11000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Clickpass,Security,20000,acquired,CA,1.0,2007-04-09,2007-06-01,2007-06-01,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClickShift,Software,6000000,acquired,CA,1.0,2005-01-01,2006-06-19,2006-06-19,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClickSquared,Software,56710000,acquired,MA,3.0,1999-01-01,2007-09-05,2012-01-09,0.0,56710000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36710000.0,11000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Clipmarks,Photography,100000,acquired,NY,1.0,2003-01-02,2009-09-28,2009-09-28,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clipsync,Curated Web,1510017,closed,CA,2.0,2007-01-01,2011-01-05,2011-05-20,0.0,1510017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CliqSearch,Search,840000,closed,PA,1.0,,2012-01-18,2012-01-18,0.0,840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloakware,Software,10000000,acquired,VA,1.0,1997-01-01,2005-03-21,2005-03-21,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloud.com,Cloud Management,11000000,acquired,CA,1.0,2008-01-01,2010-01-01,2010-01-01,0.0,11000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloudant,Enterprise Software,18250000,acquired,MA,8.0,2008-05-01,2008-05-01,2013-05-14,150000.0,16100000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,2000000.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0
CloudBlue Technologies,Enterprise Software,9915000,acquired,GA,2.0,2001-01-01,2008-03-13,2009-12-21,0.0,9915000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CloudFloor,Enterprise Software,3000000,acquired,MA,1.0,,2011-03-21,2011-03-21,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloudkick,Networking,2750000,acquired,CA,2.0,2009-01-01,2009-09-14,2010-04-28,0.0,2750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloudmeter,Software,5300000,acquired,CA,2.0,2007-04-01,2009-04-01,2012-04-27,0.0,5000000.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloudscaling,SaaS,14000000,acquired,CA,2.0,2006-01-01,2011-09-21,2013-05-22,0.0,14000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
CloudShield Technologies,Web Hosting,25000000,acquired,CA,2.0,2000-01-01,2005-10-28,2007-09-17,0.0,25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CloudVolumes,Enterprise Software,4415653,acquired,CA,2.0,2011-01-01,2012-11-07,2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4415653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloupia,Cloud Management,3532577,acquired,CA,1.0,2009-05-01,2012-12-06,2012-12-06,0.0,3532577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clover,Mobile,8800000,acquired,CA,2.0,2010-10-01,2011-04-13,2012-12-27,0.0,8800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloverleaf Communications,Public Relations,11000000,acquired,NY,1.0,2001-01-01,2005-06-28,2005-06-28,0.0,11000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000000.0,0.0,0.0,0.0,0.0,0.0
ClrTouch,Tablets,20000,closed,NY,1.0,2010-07-01,2011-09-01,2011-09-01,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cluepedia,Software,430000,closed,CA,1.0,,2007-01-01,2007-01-01,0.0,430000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CmyCasa,Software,600000,closed,CA,1.0,2008-04-01,2008-01-01,2008-01-01,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNS Therapeutics,Biotechnology,10050000,acquired,MN,2.0,,2009-08-18,2012-12-21,0.0,10050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2Nexus,Clean Technology,90000,closed,CA,1.0,,2009-12-30,2009-12-30,0.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COADE,Software,42000000,acquired,TX,1.0,1984-01-01,2007-08-06,2007-08-06,0.0,42000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
